
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;2.0;-33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;1.0;-66.7;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;1.0;-66.7;
    6.-Robos con violencia e intimidación;8.0;3.0;-62.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;46.0;52.0;13.0;
    7.1.-Robos con fuerza en domicilios;37.0;32.0;-13.5;
    8.-Hurtos;75.0;67.0;-10.7;
    9.-Sustracciones de vehículos;4.0;6.0;50.0;
    10.-Tráfico de drogas;3.0;0.0;-100.0;
    Resto de infracciones penales;281.0;372.0;32.4;
    TOTAL INFRACCIONES PENALES;423.0;503.0;18.9;
- Municipio de Manacor;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;3.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    6.-Robos con violencia e intimidación;7.0;6.0;-14.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;55.0;52.0;-5.5;
    7.1.-Robos con fuerza en domicilios;43.0;46.0;7.0;
    8.-Hurtos;65.0;58.0;-10.8;
    9.-Sustracciones de vehículos;5.0;5.0;0.0;
    10.-Tráfico de drogas;3.0;2.0;-33.3;
    Resto de infracciones penales;190.0;239.0;25.8;
    TOTAL INFRACCIONES PENALES;336.0;373.0;11.0;
- Municipio de Marratxí;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;0.0;-100.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    6.-Robos con violencia e intimidación;2.0;5.0;150.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;40.0;25.0;-37.5;
    7.1.-Robos con fuerza en domicilios;35.0;21.0;-40.0;
    8.-Hurtos;103.0;88.0;-14.6;
    9.-Sustracciones de vehículos;7.0;2.0;-71.4;
    10.-Tráfico de drogas;1.0;1.0;0.0;
    Resto de infracciones penales;226.0;217.0;-4.0;
    TOTAL INFRACCIONES PENALES;384.0;341.0;-11.2;
- Municipio de Palma;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;5.0;66.7;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;53.0;64.0;20.8;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;49.0;66.0;34.7;
    5.1.-Agresión sexual con penetración;5.0;5.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;44.0;61.0;38.6;
    6.-Robos con violencia e intimidación;166.0;153.0;-7.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;280.0;218.0;-22.1;
    7.1.-Robos con fuerza en domicilios;147.0;147.0;0.0;
    8.-Hurtos;2062.0;2109.0;2.3;
    9.-Sustracciones de vehículos;201.0;128.0;-36.3;
    10.-Tráfico de drogas;22.0;28.0;27.3;
    Resto de infracciones penales;3154.0;3708.0;17.6;
    TOTAL INFRACCIONES PENALES;5990.0;6479.0;8.2;
- Isla de Menorca;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;8.0;33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;11.0;175.0;
    5.1.-Agresión sexual con penetración;1.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;9.0;200.0;
    6.-Robos con violencia e intimidación;5.0;5.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;25.0;56.0;124.0;
    7.1.-Robos con fuerza en domicilios;15.0;41.0;173.3;
    8.-Hurtos;127.0;129.0;1.6;
    9.-Sustracciones de vehículos;4.0;4.0;0.0;
    10.-Tráfico de drogas;3.0;2.0;-33.3;
    Resto de infracciones penales;417.0;494.0;18.5;
    TOTAL INFRACCIONES PENALES;591.0;711.0;20.3;
CANARIAS;
    1.-Homicidios dolosos y asesinatos consumados;9.0;3.0;-66.7;
    2.-Homicidios dolosos y asesinatos en grado tentativa;7.0;7.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;226.0;300.0;32.7;
    4.-Secuestro;2.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;186.0;230.0;23.7;
    5.1.-Agresión sexual con penetración;24.0;9.0;-62.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;162.0;221.0;36.4;
    6.-Robos con violencia e intimidación;388.0;404.0;4.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1496.0;1009.0;-32.6;
    7.1.-Robos con fuerza en domicilios;955.0;642.0;-32.8;
    8.-Hurtos;8440.0;7438.0;-11.9;
    9.-Sustracciones de vehículos;326.0;328.0;0.6;
    10.-Tráfico de drogas;162.0;140.0;-13.6;
    Resto de infracciones penales;12339.0;14226.0;15.3;
    TOTAL INFRACCIONES PENALES;23581.0;24085.0;2.1;
Provincia de PALMAS (LAS);
    1.-Homicidios dolosos y asesinatos consumados;3.0;1.0;-66.7;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;5.0;150.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;110.0;172.0;56.4;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;118.0;144.0;22.0;
    5.1.-Agresión sexual con penetración;16.0;6.0;-62.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;102.0;138.0;35.3;
    6.-Robos con violencia e intimidación;226.0;201.0;-11.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;704.0;478.0;-32.1;
    7.1.-Robos con fuerza en domicilios;386.0;303.0;-21.5;
    8.-Hurtos;3937.0;3529.0;-10.4;
    9.-Sustracciones de vehículos;144.0;148.0;2.8;
    10.-Tráfico de drogas;102.0;85.0;-16.7;
    Resto de infracciones penales;7048.0;8021.0;13.8;
    TOTAL INFRACCIONES PENALES;12395.0;12784.0;3.1;
- Isla de Fuerteventura;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;20.0;23.0;15.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;15.0;15.0;0.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;14.0;15.0;7.1;
    6.-Robos con violencia e intimidación;21.0;25.0;19.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;108.0;68.0;-37.0;
    7.1.-Robos con fuerza en domicilios;66.0;35.0;-47.0;
    8.-Hurtos;423.0;409.0;-3.3;
    9.-Sustracciones de vehículos;7.0;11.0;57.1;
    10.-Tráfico de drogas;5.0;15.0;200.0;
    Resto de infracciones penales;899.0;1021.0;13.6;
    TOTAL INFRACCIONES PENALES;1499.0;1588.0;5.9;
- Municipio de Puerto del Rosario;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;3.0;-40.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;2.0;-71.4;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;2.0;-71.4;
    6.-Robos con violencia e intimidación;11.0;16.0;45.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;29.0;31.0;6.9;
    7.1.-Robos con fuerza en domicilios;20.0;16.0;-20.0;
    8.-Hurtos;104.0;115.0;10.6;
    9.-Sustracciones de vehículos;6.0;8.0;33.3;
    10.-Tráfico de drogas;4.0;8.0;100.0;
    Resto de infracciones penales;305.0;420.0;37.7;
    TOTAL INFRACCIONES PENALES;471.0;604.0;28.2;
- Isla de Gran Canaria;
    1.-Homicidios dolosos y asesinatos consumados;2.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;3.0;200.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;74.0;121.0;63.5;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;89.0;119.0;33.7;
    5.1.-Agresión sexual con penetración;12.0;5.0;-58.3;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;77.0;114.0;48.1;
    6.-Robos con violencia e intimidación;179.0;155.0;-13.4;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;406.0;314.0;-22.7;
    7.1.-Robos con fuerza en domicilios;201.0;210.0;4.5;
    8.-Hurtos;2990.0;2626.0;-12.2;
    9.-Sustracciones de vehículos;127.0;119.0;-6.3;
    10.-Tráfico de drogas;79.0;60.0;-24.1;
    Resto de infracciones penales;5132.0;5994.0;16.8;
    TOTAL INFRACCIONES PENALES;9080.0;9511.0;4.7;
- Municipio de Agüimes;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;1.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;3.0;-40.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;3.0;-40.0;
    6.-Robos con violencia e intimidación;0.0;2.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;17.0;8.0;-52.9;
    7.1.-Robos con fuerza en domicilios;5.0;6.0;20.0;
    8.-Hurtos;67.0;56.0;-16.4;
    9.-Sustracciones de vehículos;3.0;0.0;-100.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;196.0;251.0;28.1;
    TOTAL INFRACCIONES PENALES;289.0;321.0;11.1;
- Municipio de Arucas;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;3.0;50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;5.0;-37.5;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;5.0;-28.6;
    6.-Robos con violencia e intimidación;0.0;3.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;9.0;3.0;-66.7;
    7.1.-Robos con fuerza en domicilios;6.0;2.0;-66.7;
    8.-Hurtos;47.0;56.0;19.1;
    9.-Sustracciones de vehículos;2.0;0.0;-100.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;205.0;204.0;-0.5;
    TOTAL INFRACCIONES PENALES;273.0;274.0;0.4;
- Municipio de Ingenio;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;4.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;0.0;-100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;0.0;-100.0;
    6.-Robos con violencia e intimidación;3.0;2.0;-33.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;14.0;7.0;-50.0;
    7.1.-Robos con fuerza en domicilios;5.0;6.0;20.0;
    8.-Hurtos;45.0;32.0;-28.9;
    9.-Sustracciones de vehículos;0.0;1.0;100.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;127.0;134.0;5.5;
    TOTAL INFRACCIONES PENALES;194.0;180.0;-7.2;
- Municipio de Palmas de Gran Canaria (Las);
    1.-Homicidios dolosos y asesinatos consumados;2.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;3.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;29.0;62.0;113.8;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;30.0;66.0;120.0;
    5.1.-Agresión sexual con penetración;2.0;2.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;28.0;64.0;128.6;
    6.-Robos con violencia e intimidación;112.0;75.0;-33.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;115.0;112.0;-2.6;
    7.1.-Robos con fuerza en domicilios;59.0;56.0;-5.1;
    8.-Hurtos;1461.0;1250.0;-14.4;
    9.-Sustracciones de vehículos;64.0;64.0;0.0;
    10.-Tráfico de drogas;55.0;31.0;-43.6;
    Resto de infracciones penales;2100.0;2598.0;23.7;
    TOTAL INFRACCIONES PENALES;3969.0;4261.0;7.4;
- Municipio de San Bartolomé de Tirajana;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.0;16.0;6.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;7.0;-12.5;
    5.1.-Agresión sexual con penetración;3.0;1.0;-66.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;6.0;20.0;
    6.-Robos con violencia e intimidación;35.0;35.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;67.0;43.0;-35.8;
    7.1.-Robos con fuerza en domicilios;27.0;29.0;7.4;
    8.-Hurtos;607.0;559.0;-7.9;
    9.-Sustracciones de vehículos;23.0;15.0;-34.8;
    10.-Tráfico de drogas;14.0;9.0;-35.7;
    Resto de infracciones penales;564.0;614.0;8.9;
    TOTAL INFRACCIONES PENALES;1333.0;1298.0;-2.6;
- Municipio de Santa Lucía de Tirajana;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;11.0;37.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;11.0;57.1;
    5.1.-Agresión sexual con penetración;2.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;11.0;120.0;
    6.-Robos con violencia e intimidación;14.0;16.0;14.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;75.0;26.0;-65.3;
    7.1.-Robos con fuerza en domicilios;27.0;20.0;-25.9;
    8.-Hurtos;231.0;203.0;-12.1;
    9.-Sustracciones de vehículos;6.0;6.0;0.0;
    10.-Tráfico de drogas;2.0;4.0;100.0;
    Resto de infracciones penales;558.0;547.0;-2.0;
    TOTAL INFRACCIONES PENALES;902.0;824.0;-8.6;
- Municipio de Telde;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;7.0;5.0;-28.6;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;20.0;13.0;-35.0;
    5.1.-Agresión sexual con penetración;3.0;2.0;-33.3;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;17.0;11.0;-35.3;
    6.-Robos con violencia e intimidación;5.0;14.0;180.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;35.0;43.0;22.9;
    7.1.-Robos con fuerza en domicilios;21.0;32.0;52.4;
    8.-Hurtos;200.0;191.0;-4.5;
    9.-Sustracciones de vehículos;24.0;32.0;33.3;
    10.-Tráfico de drogas;4.0;8.0;100.0;
    Resto de infracciones penales;737.0;881.0;19.5;
    TOTAL INFRACCIONES PENALES;1032.0;1187.0;15.0;
- Isla de Lanzarote;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;16.0;28.0;75.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;14.0;10.0;-28.6;
    5.1.-Agresión sexual con penetración;3.0;1.0;-66.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;11.0;9.0;-18.2;
    6.-Robos con violencia e intimidación;26.0;21.0;-19.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;190.0;96.0;-49.5;
    7.1.-Robos con fuerza en domicilios;119.0;58.0;-51.3;
    8.-Hurtos;524.0;494.0;-5.7;
    9.-Sustracciones de vehículos;10.0;18.0;80.0;
    10.-Tráfico de drogas;18.0;10.0;-44.4;
    Resto de infracciones penales;1017.0;1006.0;-1.1;
    TOTAL INFRACCIONES PENALES;1816.0;1685.0;-7.2;
- Municipio de Arrecife;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;14.0;133.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;2.0;-71.4;
    5.1.-Agresión sexual con penetración;3.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;2.0;-50.0;
    6.-Robos con violencia e intimidación;13.0;16.0;23.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;55.0;37.0;-32.7;
    7.1.-Robos con fuerza en domicilios;18.0;18.0;0.0;
    8.-Hurtos;110.0;161.0;46.4;
    9.-Sustracciones de vehículos;8.0;13.0;62.5;
    10.-Tráfico de drogas;10.0;3.0;-70.0;
    Resto de infracciones penales;408.0;427.0;4.7;
    TOTAL INFRACCIONES PENALES;618.0;674.0;9.1;
Provincia de SANTA CRUZ DE TENERIFE;
    1.-Homicidios dolosos y asesinatos consumados;6.0;2.0;-66.7;
    2.-Homicidios dolosos y asesinatos en grado tentativa;5.0;2.0;-60.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;116.0;128.0;10.3;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;68.0;86.0;26.5;
    5.1.-Agresión sexual con penetración;8.0;3.0;-62.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;60.0;83.0;38.3;
    6.-Robos con violencia e intimidación;162.0;203.0;25.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;792.0;531.0;-33.0;
    7.1.-Robos con fuerza en domicilios;569.0;339.0;-40.4;
    8.-Hurtos;4503.0;3909.0;-13.2;
    9.-Sustracciones de vehículos;182.0;180.0;-1.1;
    10.-Tráfico de drogas;60.0;55.0;-8.3;
    Resto de infracciones penales;5291.0;6205.0;17.3;
    TOTAL INFRACCIONES PENALES;11186.0;11301.0;1.0;
- Isla de Gomera (La);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;1.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    6.-Robos con violencia e intimidación;0.0;1.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2.0;5.0;150.0;
    7.1.-Robos con fuerza en domicilios;1.0;1.0;0.0;
    8.-Hurtos;9.0;10.0;11.1;
    9.-Sustracciones de vehículos;0.0;1.0;100.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;43.0;71.0;65.1;
    TOTAL INFRACCIONES PENALES;55.0;92.0;67.3;
- Isla de Hierro (El);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;0.0;-100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    6.-Robos con violencia e intimidación;0.0;0.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.0;0.0;-100.0;
    7.1.-Robos con fuerza en domicilios;1.0;0.0;-100.0;
    8.-Hurtos;4.0;5.0;25.0;
    9.-Sustracciones de vehículos;0.0;0.0;0.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;34.0;37.0;8.8;
    TOTAL INFRACCIONES PENALES;41.0;43.0;4.9;
- Isla de Palma (La);
